id,title,logo,stream_url,source,visible,weight
BBC1,BBC One,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20One.png,,xmltv,0,45
BBC1 N Ireland,BBC One Northern Ireland,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20One%20Northern%20Ireland.png,,xmltv,0,46
BBC1 Scotland,BBC One Scotland,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20One%20Scotland.png,,xmltv,0,47
BBC1 Wales,BBC One Wales,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20One%20Wales.png,,xmltv,0,48
BBC2,BBC Two,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20Two.png,,xmltv,0,49
BBC2 N Ireland,BBC Two Northern Ireland,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20Two%20Northern%20Ireland.png,,xmltv,0,50
BBC2 Scotland,BBC Two Scotland,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20Two%20Scotland.png,,xmltv,0,51
BBC2 Wales,BBC Two Wales,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20Two%20Wales.png,,xmltv,0,52
ITV London,ITV1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV1.png,,xmltv,0,53
ITV London +1,ITV1+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV1+1.png,,xmltv,0,54
Channel 4,Channel 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Channel%204.png,,xmltv,0,63
Channel 5,Channel 5,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Channel%205.png,,xmltv,0,64
Sky1,Sky 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%201.png,,xmltv,0,65
Sky Living,Sky Living,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Living.png,,xmltv,0,66
Sky Atlantic,Sky Atlantic,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Atlantic.png,,xmltv,0,67
Watch,Watch,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Watch.png,,xmltv,0,68
GOLD,GOLD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/GOLD.png,,xmltv,0,69
Dave,Dave,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Dave.png,,xmltv,0,70
ComedyCentral,ComedyCentral,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ComedyCentral.png,,xmltv,0,9
Universal Channel,Universal,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Universal.png,,xmltv,0,71
Syfy UK,Syfy,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Syfy.png,,xmltv,0,72
BBC Four,BBC Four,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BBC%20Four.png,,xmltv,0,73
ITV2,ITV2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV2.png,,xmltv,0,55
ITV2 +1,ITV2+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV2+1.png,,xmltv,0,56
ITV3,ITV3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV3.png,,xmltv,0,57
ITV3+1,ITV3+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV3+1.png,,xmltv,0,58
ITV4,ITV4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV4.png,,xmltv,0,59
ITV4 + 1,ITV4+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV4+1.png,,xmltv,0,60
ITV Encore,ITV Encore,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITV%20Encore.png,,xmltv,0,61
ITVBe,ITVBe,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ITVBe.png,,xmltv,0,62
London Live,London Live,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/London%20Live.png,,xmltv,0,74
Eden,Eden,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Eden.png,,xmltv,0,75
Yesterday,Yesterday,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Yesterday.png,,xmltv,0,76
S4C,S4C,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/S4C.png,,xmltv,0,77
Sky2,Sky 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%202.png,,xmltv,0,78
FOX,FOX,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/FOX.png,,xmltv,0,79
TLC,TLC,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TLC.png,,xmltv,1,26
Sky Arts 1,Sky Arts,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Arts.png,,xmltv,0,80
Alibi,alibi,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/alibi.png,,xmltv,0,81
E4,E4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/E4.png,,xmltv,0,82
More4,More4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/More4.png,,xmltv,0,83
4seven,4seven,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/4seven.png,,xmltv,0,84
DMAX,DMAX,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/DMAX.png,,xmltv,0,85
Challenge,Challenge,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Challenge.png,,xmltv,0,86
CBS Reality,CBS Reality,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CBS%20Reality.png,,xmltv,1,6
CBS Reality +1,CBS Reality+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CBS%20Reality+1.png,,xmltv,1,6
CBS Action,CBS Action,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CBS%20Action.png,,xmltv,1,6
CBS Drama,CBS Drama,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CBS%20Drama.png,,xmltv,1,6
5USA,5 USA,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/5%20USA.png,,xmltv,0,87
RTÉ One,RTE1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RTE1.png,,xmltv,0,88
RTÉ Two,RTE2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RTE2.png,,xmltv,0,89
TV3,TV3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TV3.png,,xmltv,0,90
TG4,TG4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TG4.png,,xmltv,0,91
UTV,UTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/UTV.png,,xmltv,0,92
3e,3e,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/3e.png,,xmltv,0,93
truTV UK,TruTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TruTV.png,,xmltv,1,18
E!,E!,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/E!.png,,xmltv,1,39
Pick,PICK TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/PICK%20TV.png,,xmltv,0,94
QUEST,QUEST,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/QUEST.png,,xmltv,0,95
Drama,Drama,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Drama.png,,xmltv,0,96
5*,5 Star,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/5%20Star.png,,xmltv,0,97
Good Food,Good Food,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Good%20Food.png,,xmltv,0,98
Food Network,Food Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Food%20Network.png,,xmltv,1,99
Food Network +1,Food Network+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Food%20Network+1.png,,xmltv,1,100
Really,Really,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Really.png,,xmltv,0,101
Home,Home,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Home.png,,xmltv,0,102
TrueEntertainment,True Ent,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/True%20Ent.png,,xmltv,0,103
Rai 1,Rai 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Rai%201.png,,xmltv,0,177
Rai 2,Rai 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Rai%202.png,,xmltv,0,178
